number_recipients,year,filing_id,ein,desc_noncash_assistance,amount_cash_grant,method_valuation,job_id,type_of_grant_assistance,pdf_key,region,manner_cash_disbursement,amount_noncash_assistance,source_url,index
26,2009,520595110_2009,520595110,N/A,17050,,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,HONORARIUM,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,North America (excluding the US),CHECK DISBURSEMENT,,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf,
2,2010,520595110_2010,520595110,N/A,2750,,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,Academic Awards,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,South Asia,Check Disbursement,,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf,
8,2010,520595110_2010,520595110,N/A,11000,,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,Honoraria,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,South Asia,Check Disbursement,,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf,
3,2010,520595110_2010,520595110,N/A,1000,,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,Academic Awards,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,Sub-Saharan Africa,Check Disbursement,,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf,
7,2010,520595110_2010,520595110,N/A,4950,,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,Honoraria,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,Sub-Saharan Africa,Check Disbursement,,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf,
47,2010,520595110_2010,520595110,N/A,348750,,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,Scholarships,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,East Asia & Pacific,Check Disbursement,,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf,
6,2010,520595110_2010,520595110,N/A,2700,,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,Academic Awards,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,East Asia & Pacific,Check Disbursement,,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf,
22,2010,520595110_2010,520595110,N/A,17200,,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,Honoraria,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,East Asia & Pacific,Check Disbursement,,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf,
4,2010,520595110_2010,520595110,N/A,21951,,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,Scholarships,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,Europe (inc Iceland & Greenland),Check Disbursement,,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf,
1,2010,520595110_2010,520595110,N/A,9043,,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,Sub-Award,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,Europe (inc Iceland & Greenland),Check Disbursement,,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf,
1,2010,520595110_2010,520595110,N/A,500,,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,Academic Awards,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,Europe (inc Iceland & Greenland),Check Disbursement,,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf,
60,2010,520595110_2010,520595110,N/A,78661,,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,Honoraria,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,Europe (inc Iceland & Greenland),Check Disbursement,,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf,
5,2010,520595110_2010,520595110,N/A,20000,,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,Fellowships,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,Europe (inc Iceland & Greenland),Check Disbursement,,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf,
3,2010,520595110_2010,520595110,N/A,16163,,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,Honoraria,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,Middle East & North Africa,Check Disbursement,,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf,
32,2010,520595110_2010,520595110,N/A,32748,,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,Honoraria,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,North America (ex US),Check Disbursement,,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf,
4,2010,520595110_2010,520595110,N/A,3708,,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,Honoraria,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,South America,Check Disbursement,,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf,
,2009,362171714_2009,362171714,Schedule F,,,7bf7719a073b027dc5ef2f5aba8384f2a986ba9aa01fc8ab495cd1d0dc5874bf,,EIN_362171714_YEAR_2009_FORMTYPE_990.pdf,,,,https://projects.propublica.org/nonprofits/download-filing?path=2010_03_EO%2F36-2171714_990_200906.pdf,
,2010,362171714_2010,362171714,,,110,2dc0a1946c92aa61753206ff2f83bd30d839fb3f5f51c147f178ce9e55cefb55,,EIN_362171714_YEAR_2010_FORMTYPE_990.pdf,,,,https://projects.propublica.org/nonprofits/download-filing?path=2010_12_EO%2F36-2171714_990_201006.pdf,0
,2010,362171714_2010,362171714,Schedule F,,09902009,2dc0a1946c92aa61753206ff2f83bd30d839fb3f5f51c147f178ce9e55cefb55,,EIN_362171714_YEAR_2010_FORMTYPE_990.pdf,,,,https://projects.propublica.org/nonprofits/download-filing?path=2010_12_EO%2F36-2171714_990_201006.pdf,1
,2010,363535053_2010,363535053,Schedule F,,,bb38e3261a52a2cacd5c7a05939c9cb8f06b95a5fdd3dce78a119a0281df16ab,,EIN_363535053_YEAR_2010_FORMTYPE_990.pdf,,,,https://projects.propublica.org/nonprofits/download-filing?path=2011_03_EO%2F36-3535053_990_201006.pdf,
,2008,131846366_2008,131846366,Schedule F,,,2942e7ea3c85ff8d6d6dc267aab24259765e37d1d3940d0cfc27b17a344b45c3,,EIN_131846366_YEAR_2008_FORMTYPE_990.pdf,,,,https://projects.propublica.org/nonprofits/download-filing?path=2009_06_EO%2F13-1846366_990_200812.pdf,
,2009,131846366_2009,131846366,Schedule F,,,f408a039bd522db678b0262e866d336f5e3118e148fda5eaa739ba1482fe4a47,,EIN_131846366_YEAR_2009_FORMTYPE_990.pdf,,,,https://projects.propublica.org/nonprofits/download-filing?path=2010_10_EO%2F13-1846366_990_200912.pdf,
,2009,951461574_2009,951461574,Schedule F,,,08a728956b203d65e760500ecebcc0fcb6567b72fad9210e3959815d57f32a57,,EIN_951461574_YEAR_2009_FORMTYPE_990.pdf,,,,https://projects.propublica.org/nonprofits/download-filing?path=2010_06_EO%2F95-1461574_990_200906.pdf,
,2010,951461574_2010,951461574,Schedule F,,,6fc746340b61066c66f9d827c68014a1c6997ffb13c84ed2fb67bb08cf902d07,,EIN_951461574_YEAR_2010_FORMTYPE_990.pdf,,,,https://projects.propublica.org/nonprofits/download-filing?path=2011_03_EO%2F95-1461574_990_201006.pdf,
,2009,330901290_2009,330901290,Schedule F,,,c9e31387a121d1eb3a48e9577781e70ca3dbe25f7ff9c4ca82c25570f6832d07,,EIN_330901290_YEAR_2009_FORMTYPE_990.pdf,,,,https://projects.propublica.org/nonprofits/download-filing?path=2010_12_EO%2F33-0901290_990_200912.pdf,
,2009,231352689_2009,231352689,Schedule F,,,5596f51a999ebbd4cb992f490ceaffcddbac9bce532b911997683ae6897c2797,,EIN_231352689_YEAR_2009_FORMTYPE_990.pdf,,,,https://projects.propublica.org/nonprofits/download-filing?path=2010_06_EO%2F23-1352689_990_200906.pdf,
,2010,231352689_2010,231352689,,,110,6f959584864054e37760d9234af7d3d36e1b6d4cc412da3b24e51383620249a8,,EIN_231352689_YEAR_2010_FORMTYPE_990.pdf,,,,https://projects.propublica.org/nonprofits/download-filing?path=2011_03_EO%2F23-1352689_990_201006.pdf,0
,2010,231352689_2010,231352689,Schedule F,,09902009,6f959584864054e37760d9234af7d3d36e1b6d4cc412da3b24e51383620249a8,,EIN_231352689_YEAR_2010_FORMTYPE_990.pdf,,,,https://projects.propublica.org/nonprofits/download-filing?path=2011_03_EO%2F23-1352689_990_201006.pdf,1
,2009,381360586_2009,381360586,Schedule F,,,4e8656bf3f4fa55db54cb2b946360f43b474fd63cdd2c61ae78303bf74bd88c2,,EIN_381360586_YEAR_2009_FORMTYPE_990.pdf,,,,https://projects.propublica.org/nonprofits/download-filing?path=2010_06_EO%2F38-1360586_990_200906.pdf,
,2008,136223604_2008,136223604,Schedule F,,,08ecd9db760e11f3b5de633a9dd90170219f28fffe28e47658490a7191c7feed,,EIN_136223604_YEAR_2008_FORMTYPE_990.pdf,,,,https://projects.propublica.org/nonprofits/download-filing?path=2009_08_EO%2F13-6223604_990_200812.pdf,
5,2009,136223604_2009,136223604,scholarships for tuition FMV,,,d3f66bdd55f9a15a7fbd6d1a840b2b9fc5d9ed42bc478164c9576bdfba9bd33e,Scholarships,EIN_136223604_YEAR_2009_FORMTYPE_990.pdf,Central America and the Caribbean,,9628,https://projects.propublica.org/nonprofits/download-filing?path=2011_12_EO%2F13-6223604_990_200912.pdf,
28,2009,136223604_2009,136223604,scholarships for tuition FMV,,,d3f66bdd55f9a15a7fbd6d1a840b2b9fc5d9ed42bc478164c9576bdfba9bd33e,Scholarships,EIN_136223604_YEAR_2009_FORMTYPE_990.pdf,East Asia and the Pacific,,91130,https://projects.propublica.org/nonprofits/download-filing?path=2011_12_EO%2F13-6223604_990_200912.pdf,
131,2009,136223604_2009,136223604,scholarships for tuition FMV,,,d3f66bdd55f9a15a7fbd6d1a840b2b9fc5d9ed42bc478164c9576bdfba9bd33e,Scholarships,EIN_136223604_YEAR_2009_FORMTYPE_990.pdf,Europe (Including Iceland & Greenland),,595413,https://projects.propublica.org/nonprofits/download-filing?path=2011_12_EO%2F13-6223604_990_200912.pdf,
34,2009,136223604_2009,136223604,scholarships for tuition FMV,,,d3f66bdd55f9a15a7fbd6d1a840b2b9fc5d9ed42bc478164c9576bdfba9bd33e,Scholarships,EIN_136223604_YEAR_2009_FORMTYPE_990.pdf,Middle East and North Africa,,132993,https://projects.propublica.org/nonprofits/download-filing?path=2011_12_EO%2F13-6223604_990_200912.pdf,
54,2009,136223604_2009,136223604,Scholarships for tuition FMV,,,d3f66bdd55f9a15a7fbd6d1a840b2b9fc5d9ed42bc478164c9576bdfba9bd33e,Scholarships,EIN_136223604_YEAR_2009_FORMTYPE_990.pdf,Russia & the Newly Independent States,,229280,https://projects.propublica.org/nonprofits/download-filing?path=2011_12_EO%2F13-6223604_990_200912.pdf,
1,2009,136223604_2009,136223604,scholarships for tuition FMV,,,d3f66bdd55f9a15a7fbd6d1a840b2b9fc5d9ed42bc478164c9576bdfba9bd33e,Scholarships,EIN_136223604_YEAR_2009_FORMTYPE_990.pdf,South America,,4500,https://projects.propublica.org/nonprofits/download-filing?path=2011_12_EO%2F13-6223604_990_200912.pdf,
8,2009,136223604_2009,136223604,scholarships for tuition FMV,,,d3f66bdd55f9a15a7fbd6d1a840b2b9fc5d9ed42bc478164c9576bdfba9bd33e,Scholarships,EIN_136223604_YEAR_2009_FORMTYPE_990.pdf,South Asia,,23450,https://projects.propublica.org/nonprofits/download-filing?path=2011_12_EO%2F13-6223604_990_200912.pdf,
1,2009,136223604_2009,136223604,scholarships for tuition FMV,,,d3f66bdd55f9a15a7fbd6d1a840b2b9fc5d9ed42bc478164c9576bdfba9bd33e,Scholarships,EIN_136223604_YEAR_2009_FORMTYPE_990.pdf,Sub-Saharan Africa,,2500,https://projects.propublica.org/nonprofits/download-filing?path=2011_12_EO%2F13-6223604_990_200912.pdf,
25,2010,136223604_2010,136223604,SCHOLARSHIPS FOR FMV TUITION,,,5d401e8269e10805a353380065abc083256808e043028aa96c23415b5db67766,SCHOLARSHIPS,EIN_136223604_YEAR_2010_FORMTYPE_990.pdf,EAST ASIA AND THE PACIFIC,,71538,https://projects.propublica.org/nonprofits/download-filing?path=2011_10_EO%2F13-6223604_990_201012.pdf,
84,2010,136223604_2010,136223604,SCHOLARSHIPS FOR FMV TUITION,,,5d401e8269e10805a353380065abc083256808e043028aa96c23415b5db67766,SCHOLARSHIPS,EIN_136223604_YEAR_2010_FORMTYPE_990.pdf,EUROPE (INCLUDING ICELAND & GREENLAND),,296853,https://projects.propublica.org/nonprofits/download-filing?path=2011_10_EO%2F13-6223604_990_201012.pdf,
27,2010,136223604_2010,136223604,SCHOLARSHIPS FOR FMV TUITION,,,5d401e8269e10805a353380065abc083256808e043028aa96c23415b5db67766,SCHOLARSHIPS,EIN_136223604_YEAR_2010_FORMTYPE_990.pdf,SOUTH AMERICA,,59889,https://projects.propublica.org/nonprofits/download-filing?path=2011_10_EO%2F13-6223604_990_201012.pdf,
16,2010,136223604_2010,136223604,SCHOLARSHIPS FOR FMV TUITION,,,5d401e8269e10805a353380065abc083256808e043028aa96c23415b5db67766,SCHOLARSHIPS,EIN_136223604_YEAR_2010_FORMTYPE_990.pdf,CENTRAL AMERICA AND THE CARIBBEAN,,37150,https://projects.propublica.org/nonprofits/download-filing?path=2011_10_EO%2F13-6223604_990_201012.pdf,
40,2010,136223604_2010,136223604,SCHOLARSHIPS FOR FMV TUITION,,,5d401e8269e10805a353380065abc083256808e043028aa96c23415b5db67766,SCHOLARSHIPS,EIN_136223604_YEAR_2010_FORMTYPE_990.pdf,MIDDLE EAST AND NORTH AFRICA,,140091,https://projects.propublica.org/nonprofits/download-filing?path=2011_10_EO%2F13-6223604_990_201012.pdf,
42,2010,136223604_2010,136223604,SCHOLARSHIPS FOR FMV TUITION,,,5d401e8269e10805a353380065abc083256808e043028aa96c23415b5db67766,SCHOLARSHIPS,EIN_136223604_YEAR_2010_FORMTYPE_990.pdf,RUSSIA & THE NEWLY INDEPENDENT STATES,,152818,https://projects.propublica.org/nonprofits/download-filing?path=2011_10_EO%2F13-6223604_990_201012.pdf,
8,2010,136223604_2010,136223604,SCHOLARSHIPS FOR FMV TUITION,,,5d401e8269e10805a353380065abc083256808e043028aa96c23415b5db67766,SCHOLARSHIPS,EIN_136223604_YEAR_2010_FORMTYPE_990.pdf,SOUTH ASIA,,25600,https://projects.propublica.org/nonprofits/download-filing?path=2011_10_EO%2F13-6223604_990_201012.pdf,
130,2009,202408857_2009,202408857,,430410,,6ee73fe9b94b2adcf606cd94713048d203a2f37591cf32876023ce8918d5ddf0,grant to the impoverished,EIN_202408857_YEAR_2009_FORMTYPE_990.pdf,Middle East,Check,,https://projects.propublica.org/nonprofits/download-filing?path=2010_08_EO%2F20-2408857_990_200912.pdf,
,2009,202408857_2009,202408857,Schedule F,,,6ee73fe9b94b2adcf606cd94713048d203a2f37591cf32876023ce8918d5ddf0,,EIN_202408857_YEAR_2009_FORMTYPE_990.pdf,,,,https://projects.propublica.org/nonprofits/download-filing?path=2010_08_EO%2F20-2408857_990_200912.pdf,
,2010,202408857_2010,202408857,,,110,d1925c2d74adaa3f150ded3ce67dfe7ae3a306f0db0289ad5755a28d801b2b0b,,EIN_202408857_YEAR_2010_FORMTYPE_990.pdf,,,,https://projects.propublica.org/nonprofits/download-filing?path=2011_10_EO%2F20-2408857_990_201012.pdf,0
113,2010,202408857_2010,202408857,,389925,,d1925c2d74adaa3f150ded3ce67dfe7ae3a306f0db0289ad5755a28d801b2b0b,the Middle grant to,EIN_202408857_YEAR_2010_FORMTYPE_990.pdf,Middle East,Check,,https://projects.propublica.org/nonprofits/download-filing?path=2011_10_EO%2F20-2408857_990_201012.pdf,1
11113,2010,202408857_2010,202408857,of non-cash assistance Schedule F,389925,1100011009902010,d1925c2d74adaa3f150ded3ce67dfe7ae3a306f0db0289ad5755a28d801b2b0b,assistance the Middle grant to impoverished,EIN_202408857_YEAR_2010_FORMTYPE_990.pdf,Middle East,disbursement Check,01,https://projects.propublica.org/nonprofits/download-filing?path=2011_10_EO%2F20-2408857_990_201012.pdf,2
1097,2008,953402002_2008,953402002,REFURBISHED WHEELCHAIRS DISTRIBUTED TO DISABLED INDIVIDUALS,0,,d873930918df8d2c97a86b91129a2da2cd460ab77d5e9e7141c09cc9fa194ed2,WHEELCHAIR DISTRIBUTION,EIN_953402002_YEAR_2008_FORMTYPE_990.pdf,CENTRAL AMERICA,,586694,https://projects.propublica.org/nonprofits/download-filing?path=2009_09_EO%2F95-3402002_990_200812.pdf,
551,2008,953402002_2008,953402002,REFURBISHED WHEELCHAIRS DISTRIBUTED TO DISABLED INDIVIDUALS FMV,0,,d873930918df8d2c97a86b91129a2da2cd460ab77d5e9e7141c09cc9fa194ed2,WHEELCHAIR DISTRIBUTION,EIN_953402002_YEAR_2008_FORMTYPE_990.pdf,NORTH AMERICA,,293347,https://projects.propublica.org/nonprofits/download-filing?path=2009_09_EO%2F95-3402002_990_200812.pdf,
1030,2008,953402002_2008,953402002,REFURBISHED WHEELCHAIRS DISTRIBUTED TO DISABLED INDIVIDUALS,0,,d873930918df8d2c97a86b91129a2da2cd460ab77d5e9e7141c09cc9fa194ed2,WHEELCHAIR DISTRIBUTION,EIN_953402002_YEAR_2008_FORMTYPE_990.pdf,SOUTH AMERICA,,572027,https://projects.propublica.org/nonprofits/download-filing?path=2009_09_EO%2F95-3402002_990_200812.pdf,
918,2008,953402002_2008,953402002,REFURBISHED WHEELCHAIRS DISTRIBUTED TO DISABLED INDIVIDUALS,0,,d873930918df8d2c97a86b91129a2da2cd460ab77d5e9e7141c09cc9fa194ed2,WHEELCHAIR DISTRIBUTION,EIN_953402002_YEAR_2008_FORMTYPE_990.pdf,SUB SAHARA AFRICA,,510424,https://projects.propublica.org/nonprofits/download-filing?path=2009_09_EO%2F95-3402002_990_200812.pdf,
600,2008,953402002_2008,953402002,REFURBISHED WHEELCHAIRS DISTRIBUTED TO DISABLED INDIVIDUALS FMV,0,,d873930918df8d2c97a86b91129a2da2cd460ab77d5e9e7141c09cc9fa194ed2,WHEELCHAIR DISTRIBUTION,EIN_953402002_YEAR_2008_FORMTYPE_990.pdf,EUROPE,,284546,https://projects.propublica.org/nonprofits/download-filing?path=2009_09_EO%2F95-3402002_990_200812.pdf,
624,2008,953402002_2008,953402002,REFURBISHED WHEELCHAIRS DISTRIBUTED TO DISABLED INDIVIDUALS FMV,0,,d873930918df8d2c97a86b91129a2da2cd460ab77d5e9e7141c09cc9fa194ed2,WHEELCHAIR DISTRIBUTION,EIN_953402002_YEAR_2008_FORMTYPE_990.pdf,EAST ASIA,,346149,https://projects.propublica.org/nonprofits/download-filing?path=2009_09_EO%2F95-3402002_990_200812.pdf,
450,2008,953402002_2008,953402002,REFURBISHED WHEELCHAIRS DISTRIBUTED TO DISABLED INDIVIDUALS FMV,0,,d873930918df8d2c97a86b91129a2da2cd460ab77d5e9e7141c09cc9fa194ed2,WHEELCHAIR DISTRIBUTION,EIN_953402002_YEAR_2008_FORMTYPE_990.pdf,RUSSIA,,340286,https://projects.propublica.org/nonprofits/download-filing?path=2009_09_EO%2F95-3402002_990_200812.pdf,
1212,2009,953402002_2009,953402002,Refurbished Wheelchairs distributed to disabled individuals,0,,2966b3d9edaae9eb6b5d8da4dd58bc132ebb59d517f31f7ab55cf1e5db3ed51c,Wheelchair distribution,EIN_953402002_YEAR_2009_FORMTYPE_990.pdf,Central America/Caribbean,,504192,https://projects.propublica.org/nonprofits/download-filing?path=2012_09_EO%2F95-3402002_990_200912.pdf,
394,2009,953402002_2009,953402002,Refurbished Wheelchairs distributed to disabled individuals,0,,2966b3d9edaae9eb6b5d8da4dd58bc132ebb59d517f31f7ab55cf1e5db3ed51c,Wheelchair distribution,EIN_953402002_YEAR_2009_FORMTYPE_990.pdf,East Asia,,163904,https://projects.propublica.org/nonprofits/download-filing?path=2012_09_EO%2F95-3402002_990_200912.pdf,
391,2009,953402002_2009,953402002,Refurbished Wheelchairs distributed to disabled individuals,0,,2966b3d9edaae9eb6b5d8da4dd58bc132ebb59d517f31f7ab55cf1e5db3ed51c,Wheelchair distribution,EIN_953402002_YEAR_2009_FORMTYPE_990.pdf,Europe,,162656,https://projects.propublica.org/nonprofits/download-filing?path=2012_09_EO%2F95-3402002_990_200912.pdf,
